name,product,ISIC rev.4 ecoinvent,CPC
"market for battery capacity, Li-ion, NMC523, stationary",electricity storage capacity,2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"market for battery capacity, Li-ion, NMC532",electricity storage capacity,2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"market for battery capacity, Li-ion, NMC532, stationary",electricity storage capacity,2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"market for battery capacity, Li-ion, NMC622",electricity storage capacity,2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"market for battery capacity, Li-ion, NMC622, stationary",electricity storage capacity,2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"market for battery capacity, Li-ion, NMC811",electricity storage capacity,2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"market for battery capacity, Li-ion, NMC811, stationary",electricity storage capacity,2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"market for battery capacity, Li-ion, NMC955",electricity storage capacity,2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"market for battery capacity, Li-ion, NMC955, stationary",electricity storage capacity,2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"market for battery capacity, Li-sulfur, Li-S",electricity storage capacity,2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"market for battery capacity, redox-flow, Vanadium, stationary",electricity storage capacity,2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"market for battery capacity, Sodium-ion, SiB",electricity storage capacity,2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"market for battery capacity, Sodium-ion, SiB, stationary",electricity storage capacity,2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"market for battery capacity, Sodium-Nickel-Chloride, Na-NiCl",electricity storage capacity,2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"market for battery capacity, Sodium-Nickel-Chloride, Na-NiCl, stationary",electricity storage capacity,2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"market for battery capacity, stationary (CONT scenario)",electricity storage capacity,2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"market for battery capacity, stationary (TC scenario)",electricity storage capacity,2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"market for battery cell, Li-ion, LFP","battery cell, Li-ion, LFP",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"market for battery cell, Li-ion, LTO","battery cell, Li-ion, LTO",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"market for battery cell, Li-ion, NCA","battery cell, Li-ion, NCA",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"market for battery cell, Li-ion, NMC111","battery cell, Li-ion, NMC111",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"market for battery cell, Li-ion, NMC622","battery cell, Li-ion, NMC622",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"market for battery cell, Li-ion, NMC811","battery cell, Li-ion, NMC811",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"market for battery management system, for Li-ion battery","battery management system, for Li-ion battery",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"market for battery, Li-ion, LFP, rechargeable, prismatic","battery, Li-ion, LFP, rechargeable, prismatic",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"market for battery, Li-ion, LTO","battery, Li-ion, LTO",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"market for battery, Li-ion, LTO, rechargeable","battery, Li-ion, LTO, rechargeable",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"market for battery, Li-ion, NMC523","battery, Li-ion, NMC523",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"market for battery, Li-ion, NMC532","battery, Li-ion, NMC532",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"market for battery, Li-ion, NMC622","battery, Li-ion, NMC622",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"market for battery, Li-ion, NMC955","battery, Li-ion, NMC955",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"market for battery, Li-ion, NMC955, rechargeable","battery, Li-ion, NMC955, rechargeable",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"market for battery, Li-oxygen, Li-O2","battery, Li-O2",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"market for battery, Li-oxygen, Li-O2, rechargeable","battery, Li-O2, rechargeable",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"market for battery, Li-sulfur, Li-S","battery, Li-S",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"market for battery, Li-sulfur, Li-S, rechargeable","battery, Li-S, rechargeable",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"market for battery, redox-flow, hybrid","battery, redox-flow, hybrid",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"market for battery, redox-flow, organic","battery, redox-flow, organic",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"market for battery, redox-flow, Vanadium","battery, redox-flow, Vanadium",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"market for battery, Sodium-ion, SiB","battery, SiB",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
market for bauxite,bauxite,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for bentonite,bentonite,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for beryllium,beryllium,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for beryllium hydroxide,beryllium hydroxide,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"market for biomass, used as fuel","biomass, used as fuel",0161:Support activities for crop production,86119: Other support services to crop production
"market for boric acid, anhydrous, powder","boric acid, anhydrous, powder",0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for boric oxide,boric oxide,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for boron carbide,boron carbide,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for boron trifluoride,boron trifluoride,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for cadmium,cadmium,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for calcium borates,calcium borates,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for carbon dioxide removal,"carbon dioxide, captured and stored",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"market for cathode, graphite","cathode, graphite",0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for cerium oxide,cerium oxide,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for chromite ore concentrate,chromite ore concentrate,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for chromium,chromium,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for clinker,clinker,"2394:Manufacture of cement, lime and plaster",37430: Cement clinkers
market for cobalt,cobalt,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for cobalt hydroxide,cobalt hydroxide,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for cobalt sulfate,cobalt sulfate,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"market for copper concentrate, sulfide ore","copper concentrate, sulfide ore",0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for copper-cobalt ore,copper-cobalt ore,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"market for copper, anode","copper, anode",0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"market for copper, cathode","copper, cathode",0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for diesel,diesel,1920:Manufacture of refined petroleum products,33360: Gas oil
"market for diesel, low-sulfur","diesel, low-sulfur",1920:Manufacture of refined petroleum products,33360: Gas oil
market for dolomite,dolomite,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for dysprosium oxide,dysprosium oxide,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"market for electricity, medium voltage, for LiS battery","electricity, medium voltage",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"market for energy, for direct air capture and storage","heat, central or small-scale",3530:Steam and air conditioning supply,17300: Steam and hot water
"market for energy, for direct air capture and storage, 20-year period","heat, central or small-scale",3530:Steam and air conditioning supply,17300: Steam and hot water
"market for energy, for direct air capture and storage, 40-year period","heat, central or small-scale",3530:Steam and air conditioning supply,17300: Steam and hot water
"market for energy, for direct air capture and storage, 60-year period","heat, central or small-scale",3530:Steam and air conditioning supply,17300: Steam and hot water
market for erbium oxide,erbium oxide,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for europium oxide,europium oxide,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"market for ferroniobium, 66% Nb","ferroniobium, 66% Nb",0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for gadolinium oxide,gadolinium oxide,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"market for gallium, semiconductor-grade","gallium, semiconductor-grade",0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"market for gas power plant, combined cycle, 400MW electrical","NGCC power plant, 400MWe",4220:Construction of utility projects,53262: Power plants
"market for germanium, concentrate","germanium, concentrate",0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for gold,gold,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for graphite,graphite,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"market for graphite ore, mined","graphite ore, mined",0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"market for graphite, battery grade","graphite, battery grade",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
market for hafnium sponge,hafnium sponge,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for hafnium tetrachloride,hafnium tetrachloride,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for hard coal power plant,hard coal pulverised power plant 500MW,4220:Construction of utility projects,53262: Power plants
"market for heat, district or industrial","heat, district or industrial",3530:Steam and air conditioning supply,17300: Steam and hot water
"market for heat, district or industrial, natural gas","heat, district or industrial, natural gas",3530:Steam and air conditioning supply,17300: Steam and hot water
"market for heat, district or industrial, other than natural gas","heat, district or industrial, other than natural gas",3530:Steam and air conditioning supply,17300: Steam and hot water
"market for heat, for buildings","heat, central or small-scale",3530:Steam and air conditioning supply,17300: Steam and hot water
"market for heat, residential","heat, central or small-scale",3530:Steam and air conditioning supply,17300: Steam and hot water
"market for heat, residential, 20-year period","heat, central or small-scale",3530:Steam and air conditioning supply,17300: Steam and hot water
"market for heat, residential, 40-year period","heat, central or small-scale",3530:Steam and air conditioning supply,17300: Steam and hot water
"market for heat, residential, 60-year period","heat, central or small-scale",3530:Steam and air conditioning supply,17300: Steam and hot water
market for holmium oxide,holmium oxide,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"market for hydrogen, gaseous, low pressure","hydrogen, gaseous, low pressure",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"market for ilmenite, 54% titanium dioxide","ilmenite, 54% titanium dioxide",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
market for indium,indium,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"market for indium rich leaching residues, from zinc production","indium rich leaching residues, from zinc production",0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for iridium,iridium,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for iron ore concentrate,iron ore concentrate,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for lanthanum oxide,lanthanum oxide,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for lanthanum-cerium oxide,lanthanum-cerium oxide,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for lead,lead,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for lead concentrate,lead concentrate,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"market for lignocellulosic biomass, used as fuel",lignocellulosic biomass,0161:Support activities for crop production,86119: Other support services to crop production
"market for lignocellulosic biomass, used as fuel","lignocellulosic biomass, used as fuel",0161:Support activities for crop production,86119: Other support services to crop production
"market for lithium carbonate, battery grade","lithium carbonate, battery grade",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
"market for lithium hydroxide, battery grade","lithium hydroxide, battery grade",2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
market for lutetium oxide,lutetium oxide,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for magnesium,magnesium,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for manganese,manganese,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for manganese concentrate,manganese concentrate,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for molybdenite,molybdenite,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for molybdenum,molybdenum,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for neodymium oxide,neodymium oxide,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"market for nickel concentrate, 16% Ni","nickel concentrate, 16% Ni",0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"market for nickel, class 1","nickel, class 1",0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for p-xylene,"p-xylene, biobased",2011:Manufacture of basic chemicals,"34710: Polymers of ethylene, in primary forms"
market for palladium,palladium,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for petrol,petrol,1920:Manufacture of refined petroleum products,33311: Motor gasoline
"market for petrol, low-sulfur","petrol, low-sulfur",1920:Manufacture of refined petroleum products,33311: Motor gasoline
"market for phosphate rock, beneficiated","phosphate rock, beneficiated",0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"market for phosphoric acid, fertiliser grade, without water, in 70% solution state","phosphoric acid, fertiliser grade, without water, in 70% solution state",0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"market for phosphorus, white, liquid","phosphorus, white, liquid",0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"market for photovoltaic laminate, CdTe","photovoltaic laminate, CdTe",4220:Construction of utility projects,53262: Power plants
market for platinum,platinum,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for platinum group metal concentrate,platinum group metal concentrate,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for potash salt,potash salt,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for praseodymium oxide,praseodymium oxide,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for pyrochlore concentrate,pyrochlore concentrate,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for rare earth carbonate concentrate,rare earth carbonate concentrate,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for rhenium,rhenium,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for ruthenium,ruthenium,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"market for rutile, 95% titanium dioxide","rutile, 95% titanium dioxide",0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for samarium oxide,samarium oxide,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for sand,sand,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"market for sawlog and veneer log, hardwood, measured as solid wood under bark","sawlog and veneer log, hardwood, measured as solid wood under bark",0220:Logging',"3110: Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm; railway or tramway sleepers […]"
"market for sawlog and veneer log, softwood, debarked, measured as solid wood","sawlog and veneer log, softwood, debarked, measured as solid wood",0220:Logging',"3110: Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm; railway or tramway sleepers […]"
"market for sawlog and veneer log, softwood, measured as solid wood under bark","sawlog and veneer log, softwood, measured as solid wood under bark",0220:Logging',"3110: Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm; railway or tramway sleepers […]"
market for scandium oxide,scandium oxide,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for selenium,selenium,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for silica sand,silica sand,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"market for silicon, metallurgical grade","silicon, metallurgical grade",2011:Manufacture of basic chemicals,34250: Salts of oxometallic or peroxometallic acids; colloidal precious metals and compounds thereof; inorganic and o[…]
market for silver,silver,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for sodium borates,sodium borates,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for spodumene,spodumene,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"market for steel, low-alloyed","steel, low-alloyed",2410:Manufacture of basic iron and steel,"41111: Pig iron and spiegeleisen in pigs, blocks or other primary forms"
"market for steel, unalloyed","steel, unalloyed",2410:Manufacture of basic iron and steel,"41111: Pig iron and spiegeleisen in pigs, blocks or other primary forms"
market for stibnite concentrate,stibnite concentrate,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"market for strontium sulfate, 90% SrSO4","strontium sulfate, 90% SrSO4",0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for styrene butadiene rubber (SBR),styrene butadiene rubber (SBR),2011:Manufacture of basic chemicals,"34720: Polymers of styrene, in primary forms"
"market for sulfidic tailings, from cinnabar mine operation","sulfidic tailings, from cinnabar mine operation",3822:Treatment and disposal of hazardous waste,39990: Other wastes n.e.c.
"market for sulfidic tailings, from copper mine operation","sulfidic tailings, from copper mine operation",3822:Treatment and disposal of hazardous waste,39990: Other wastes n.e.c.
"market for sulfidic tailings, from gold mine operation","sulfidic tailings, from gold mine operation",3822:Treatment and disposal of hazardous waste,39990: Other wastes n.e.c.
"market for sulfidic tailings, from nickel mine operation","sulfidic tailings, from nickel mine operation",3822:Treatment and disposal of hazardous waste,39990: Other wastes n.e.c.
"market for sulfidic tailings, from silver mine operation","sulfidic tailings, from silver mine operation",3822:Treatment and disposal of hazardous waste,39990: Other wastes n.e.c.
"market for sulfidic tailings, from zinc-lead mine operation","sulfidic tailings, from zinc-lead mine operation",3822:Treatment and disposal of hazardous waste,39990: Other wastes n.e.c.
"market for sulfidic tailings, generic","sulfidic tailings, generic",3822:Treatment and disposal of hazardous waste,39990: Other wastes n.e.c.
market for sulfur,sulfur,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"market for tantalum concentrate, 30% Ta2O5","tantalum concentrate, 30% Ta2O5",0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"market for tellurium, semiconductor-grade","tellurium, semiconductor-grade",0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for terbium oxide,terbium oxide,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for thulium oxide,thulium oxide,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for tin,tin,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for tin concentrate,tin concentrate,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for titanium,titanium,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for titanium sponge,titanium sponge,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for titanium tetrachloride,titanium tetrachloride,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"market for transport, freight, lorry","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"market for transport, freight, lorry, 18 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"market for transport, freight, lorry, 40 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"market for transport, freight, sea, container ship","transport, freight, sea, container ship",5012:Sea and coastal freight water transport,65213: Coastal and transoceanic water transport services of intermodal containers by container ships
"market for transport, freight, train","transport, freight, train",4912:Freight rail transport,6512: Railway transport services of freight
"market for transport, passenger bus","transport, passenger bus",4921:Urban and suburban passenger land transport,641: Local transport and sightseeing transportation services of passengers
"market for transport, passenger car","transport, passenger car",4922:Other passenger land transport,"64119: Other land transportation services of passengers, n.e.c."
market for tungsten concentrate,tungsten concentrate,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"market for uranium ore, as U","uranium ore, as U",0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for used redox-flow battery,used redox-flow battery,2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
market for vanadium bearing magnetite,vanadium bearing magnetite,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
market for vanadium pentoxide,vanadium pentoxide,2011:Manufacture of basic chemicals,"34110: Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives"
"market for wind power plant, 2MW, offshore, fixed parts, direct drive","wind power plant, 2MW, offshore, fixed parts",4220:Construction of utility projects,53262: Power plants
"market for wind power plant, 2MW, offshore, moving parts, direct drive","wind power plant, 2MW, offshore, moving parts",4220:Construction of utility projects,53262: Power plants
"market for wind power plant, 800kW, fixed parts, direct drive","wind power plant, 800kW, fixed parts",4220:Construction of utility projects,53262: Power plants
"market for wind power plant, 800kW, moving parts, direct drive","wind power plant, 800kW, moving parts",4220:Construction of utility projects,53262: Power plants
"market for wind turbine network connection, 2MW, onshore, direct drive","wind turbine network connection, 2MW, onshore",4220:Construction of utility projects,53262: Power plants
"market for wind turbine network connection, 4.5MW, onshore, direct drive","wind turbine network connection, 4.5MW, onshore",4220:Construction of utility projects,53262: Power plants
"market for wind turbine network connection, 750kW, onshore, direct drive","wind turbine network connection, 750kW, onshore",4220:Construction of utility projects,53262: Power plants
"market for wind turbine network connection, small-scale, 6kW, onshore, direct drive","wind turbine network connection, small-scale, 6kW, onshore",4220:Construction of utility projects,53262: Power plants
"market for wind turbine, 2.3MW, onshore, direct drive","wind turbine, 2.3MW, onshore",4220:Construction of utility projects,53262: Power plants
"market for wind turbine, 2MW, onshore, direct drive","wind turbine, 2MW, onshore",4220:Construction of utility projects,53262: Power plants
"market for wind turbine, 4.5MW, onshore, direct drive","wind turbine, 4.5MW, onshore",4220:Construction of utility projects,53262: Power plants
"market for wind turbine, 750kW, onshore, direct drive","wind turbine, 750kW, onshore",4220:Construction of utility projects,53262: Power plants
"market for wind turbine, small-scale, 6kW, onshore, direct drive","wind turbine, small-scale, 6kW, onshore",4220:Construction of utility projects,53262: Power plants
"market for wood chips, dry, measured as dry mass","wood chips, dry, measured as dry mass",1621:Manufacture of veneer sheets and wood-based panels,31230: Wood in chips or particles
"market for wood chips, from post-consumer wood, measured as dry mass","wood chips, from post-consumer wood, measured as dry mass",1621:Manufacture of veneer sheets and wood-based panels,31230: Wood in chips or particles
"market for wood chips, wet, measured as dry mass","wood chips, wet, measured as dry mass",1621:Manufacture of veneer sheets and wood-based panels,31230: Wood in chips or particles
